,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Devonport,-41.1667,146.35,285.93,91,85,1.34,AU,1618431501
1,Katsuura,35.1333,140.3,282.04,61,75,9.26,JP,1618431516
2,Cape Town,-33.9258,18.4232,292.04,88,0,3.6,ZA,1618431157
3,Busselton,-33.65,115.3333,284.82,88,97,0.45,AU,1618431548
4,Arraial do Cabo,-22.9661,-42.0278,299.15,65,20,4.63,BR,1618431125
5,Punta Arenas,-53.15,-70.9167,280.15,70,40,14.4,CL,1618431346
6,Camargo,27.6667,-105.1667,304.24,6,0,2.99,MX,1618431595
7,Mataura,-46.1927,168.8643,283.15,97,98,1.59,NZ,1618431124
8,Nikolskoye,59.7035,30.7861,277.04,87,0,4.0,RU,1618431626
9,Padang,-0.9492,100.3543,298.51,88,97,1.63,ID,1618431642
10,Shahrud,36.4182,54.9763,289.85,33,89,1.91,IR,1618431657
11,Klaksvík,62.2266,-6.589,280.15,100,75,3.6,FO,1618431673
12,San Antonio,29.4241,-98.4936,303.15,58,75,2.57,US,1618431620
13,Westport,41.1415,-73.3579,289.26,76,1,5.66,US,1618431397
14,Jamestown,42.097,-79.2353,288.15,44,1,3.09,US,1618430953
15,East London,-33.0153,27.9116,294.96,80,58,2.49,ZA,1618431735
16,Leningradskiy,69.3833,178.4167,259.71,90,100,1.33,RU,1618431711
17,Gal'bshtadt,53.2264,78.9845,278.42,94,100,2.27,RU,1618431766
18,Kuito,-12.3833,16.9333,289.46,81,98,1.66,AO,1618431782
19,Pacific Grove,36.6177,-121.9166,290.15,48,1,5.66,US,1618431797
20,Palembang,-2.9167,104.7458,296.33,95,62,0.81,ID,1618431813
21,Am Timan,11.0297,20.2827,305.27,8,46,2.87,TD,1618431828
22,Aden,12.7794,45.0367,300.29,73,4,5.7,YE,1618431580
23,Esperance,-33.8667,121.9,286.15,100,90,4.12,AU,1618431860
24,Saint-Philippe,-21.3585,55.7679,297.15,78,0,2.57,RE,1618431721
25,Paamiut,61.994,-49.6678,272.39,91,100,10.19,GL,1618431731
26,Bluff,-46.6,168.3333,283.71,97,100,0.45,NZ,1618431710
27,Elmadağ,39.9208,33.2308,287.15,54,40,4.12,TR,1618431923
28,Puerto Ayora,-0.7393,-90.3518,300.15,83,20,6.17,EC,1618431938
29,Kavieng,-2.5744,150.7967,300.21,76,31,2.22,PG,1618431954
30,Kaeo,-35.1,173.7833,287.04,94,1,1.59,NZ,1618431970
31,Balkanabat,39.5108,54.3671,295.47,22,98,3.23,TM,1618431985
32,Borovoy,55.4333,86.0833,275.15,75,0,3.0,RU,1618432001
33,Longyearbyen,78.2186,15.6401,258.15,66,20,6.69,SJ,1618432016
34,Hermanus,-34.4187,19.2345,291.48,86,0,0.89,ZA,1618432032
35,Ushuaia,-54.8,-68.3,281.15,46,20,8.23,AR,1618431940
36,Bredasdorp,-34.5322,20.0403,287.15,94,0,0.51,ZA,1618431583
37,Dickinson,29.4608,-95.0513,300.93,89,90,4.12,US,1618432080
38,Jalu,29.0331,21.5482,294.93,38,4,6.92,LY,1618432095
39,Turbat,26.0023,63.044,300.43,40,98,1.24,PK,1618432111
40,Broome,42.2506,-75.833,291.48,55,90,1.54,US,1618432126
41,Cockburn Town,21.4612,-71.1419,299.15,65,20,6.17,TC,1618432142
42,Auki,-8.7676,160.7034,298.06,85,29,0.87,SB,1618432157
43,Yellowknife,62.456,-114.3525,278.15,42,1,4.63,CA,1618432173
44,Grand Gaube,-20.0064,57.6608,299.26,77,57,1.79,MU,1618432189
45,Hasaki,35.7333,140.8333,279.26,70,40,5.66,JP,1618432205
46,Laguna,38.421,-121.4238,294.82,30,1,3.09,US,1618432220
47,Dikson,73.5069,80.5464,244.56,100,100,2.17,RU,1618432236
48,Cabo San Lucas,22.8909,-109.9124,303.15,28,1,3.09,MX,1618432096
49,Nioro,13.35,-15.75,301.13,37,1,5.75,GM,1618432268
50,Mar del Plata,-38.0023,-57.5575,296.15,49,20,4.63,AR,1618432200
51,Lompoc,34.6391,-120.4579,288.71,55,74,4.63,US,1618432208
52,Kapaa,22.0752,-159.319,299.15,57,40,6.17,US,1618432314
53,Port Lincoln,-34.7333,135.8667,289.53,62,99,4.47,AU,1618432330
54,Port Alfred,-33.5906,26.891,293.81,79,84,2.12,ZA,1618432346
55,Rikitea,-23.1203,-134.9692,298.65,69,8,2.64,PF,1618432361
56,Albany,42.6001,-73.9662,294.82,29,85,0.99,US,1618432160
57,Voroshnëvo,51.6528,36.0172,289.15,33,91,5.0,RU,1618432392
58,Maihar,24.2667,80.75,301.6,14,100,4.45,IN,1618432408
59,Kiryat Gat,31.61,34.7642,290.37,56,96,2.57,IL,1618432423
60,Nizhniy Kuranakh,58.8353,125.4869,267.29,95,100,1.6,RU,1618432439
61,Sterling,39.0062,-77.4286,288.15,94,90,2.06,US,1618432315
62,Geraldton,-28.7667,114.6,285.15,82,0,3.6,AU,1618432486
63,Butaritari,3.0707,172.7902,300.64,79,81,4.2,KI,1618432501
64,Upernavik,72.7868,-56.1549,252.6,93,96,3.36,GL,1618432517
65,Talnakh,69.4865,88.3972,257.49,88,100,2.78,RU,1618432390
66,Portland,45.5234,-122.6762,292.59,20,1,2.57,US,1618432247
67,Sur,22.5667,59.5289,301.85,43,11,6.43,OM,1618432563
68,George Town,5.4112,100.3354,299.15,94,40,1.03,MY,1618432610
69,Doha,25.2867,51.5333,300.15,57,0,4.12,QA,1618432626
70,Tasiilaq,65.6145,-37.6368,273.15,93,90,0.51,GL,1618432641
71,Pāsighāt,28.0667,95.3333,295.28,51,41,1.89,IN,1618432642
